score 	 sentence_1 	 sentence_2
5.000 	 The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed. 
5.000 	 Thank you, Commissioner.	Thank you, Mr Commissioner. 
4.000 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Users will be the losers, with employees, and European competitiveness and growth Régresseront. 
4.500 	 The standards are scarcely comparable, let alone transferable.	The norms are hardly comparable and still less transferable. 
4.500 	 Let me remind you that our allies include fervent supporters of this tax.	I want to remind you that of our allies, it is of much of this tax. 
5.000 	 That provision could open the door wide to arbitrariness.	This point of the regulations opens the door to the arbitrary one. 
2.750 	 Maij-Weggen report (A5-0323/2000)	Mrs Maij-Weggen's report (5 / 2000) 
4.750 	 Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of the citizens on the bureaucracy. 
5.000 	 That provision could open the door wide to arbitrariness.	This point of the regulations opens the door to arbitrary power. 
4.167 	 Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain unanimity in the Council and therefore a latent inability to act. 
4.250 	 Selective aid, such as market support and a grass subsidy, are essential.	A specific aid as the support of the market or the premium on grass are essential. 
4.500 	 That provision could open the door wide to arbitrariness.	This Regulation opens the door to the arbitrary. 
4.750 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and the European competitiveness and growth will recede. 
4.500 	 We often pontificate here about being the representatives of the citizens of Europe.	We often take pride here in representing the European citizens. 
4.750 	 It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty to continue to support the Latvia on the question of the integration of the Russian population. 
2.500 	 Thank you, Commissioner.	Thank you, Mister the Police chief. 
5.000 	 Van Orden Report (A5-0241/2000)	Van Orden report (A5-0241/2000) 
4.833 	 Amendment No 7 proposes certain changes in the references to paragraphs.	The amendment 7 proposes some changes in the references to the paragraphs. 
5.000 	 Tunisia	Tunisia 
4.333 	 The leaders have now been given a new chance and let us hope they seize it.	The leaders have today a new chance and let them therefore seize it. 
4.750 	 Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mister Preside over it, the relation Cashman can amount in some words: the power of the citizens on the bureaucracy. 
3.000 	 Unfortunately, others separate on the basis of accumulated hatred.	D ' others part unfortunately in reason d ' a collected resentment. 
4.500 	 It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty of continuing press Latvia on the question of the integration of the Russian population. 
4.500 	 There must be a balance as a whole.	All must be in balance. 
5.000 	 Tunisia	Tunisia 
4.571 	 The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and even less transferable. 
5.000 	 Van Orden Report (A5-0241/2000)	Report Van Orden (A5-0241 / 2000) 
3.500 	 I am one of those Members who attends sittings quite faithfully.	I am part of the members of parliament who are rather honorably present. 
4.167 	 Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain unanimity in the Council and therefore a latent inability to act. 
5.000 	 The leaders have now been given a new chance and let us hope they seize it.	The leaders profit today from a new chance and thus let them seize it. 
5.000 	 Thank you, Commissioner.	Thank you, Commissioner. 
5.000 	 (Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution) 
4.000 	 (Parliament adopted the legislative resolution)	(the Parliament adopts the legislative resolution) 
4.750 	 It increases the power of the big countries at the expense of the small countries.	That was to increase the power of the large countries to the detriment of small. 
3.500 	 I am one of those Members who attends sittings quite faithfully.	I am one of those Members who are quite properly here. 
4.000 	 That provision could open the door wide to arbitrariness.	This regulation opens the door to the arbitrary. 
4.750 	 As I already explained during second reading, there is a crisis underlying this directive amendment.	As I already explained it in second reading, a crisis is located to the basis of this modification of directive. 
4.750 	 Maij-Weggen report (A5-0323/2000)	Report/ratio Maij-Weggen (A5-0323/2000) 
4.750 	 Let me remind you that our allies include fervent supporters of this tax.	I make a point of recalling you that among our allies, there are enthusiasts of this tax. 
4.400 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with employees, and European competitiveness and growth will diminish. 
5.000 	 As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained in second reading, a crisis is on the basis of this amendment of directive. 
4.400 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with employees, and European competitiveness and growth will diminish. 
4.667 	 Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector. 
4.500 	 Van Orden Report (A5-0241/2000)	Report/ratio Van Orden (A5-0241/2000) 
4.500 	 Mr President, I rise in defence of the workers in the industry.	Mr President, I should like to take the defence of workers in this sector. 
4.500 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and the competitiveness and the European growths will decline. 
4.667 	 There must be a balance as a whole.	The whole must be in balance. 
3.750 	 Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We keep unanimity in the Council, and therefore a latent inability to act. 
3.750 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users are the losers, with the employees, and the competitiveness and growth european régresseront. 
5.000 	 The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed. 
5.000 	 Thank you, Commissioner.	Thank you, Commissioner. 
4.667 	 Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector. 
4.250 	 The standards are scarcely comparable, let alone transferable.	The norms are scarcely comparable and again less transférables. 
4.250 	 Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the support of the market or the premium to grass is essential. 
5.000 	 Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes certain changes in the references to the paragraphs. 
4.750 	 Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	Consumers will be the losers, with employees, and competitiveness and growth régresseront European. 
5.000 	 (Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution) 
4.500 	 The leaders have now been given a new chance and let us hope they seize it.	The leaders now have a new chance and let them therefore take. 
3.000 	 The standards are scarcely comparable, let alone transferable.	The rules are comparable only good, let alone. 
5.000 	 Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 offers certain modifications in references to paragraphs. 
5.000 	 Van Orden Report (A5-0241/2000)	Report Van Orden, A5-0241/2000 -- 
4.250 	 That provision could open the door wide to arbitrariness.	This regulation opens the door to arbitrariness. 
4.000 	 The European Union has got to do something and do it quickly.	It is appropriate that the European Union is implied and that it does it quickly. 
5.000 	 Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 is proposing certain changes in the references to paragraphs. 
5.000 	 The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed. 
4.429 	 The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m. 
4.250 	 Then perhaps we could have avoided a catastrophe.	We would perhaps have been able to then avoid a disaster. 
4.429 	 The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m. 
4.250 	 We often pontificate here about being the representatives of the citizens of Europe.	Often we pride ourselves here to represent the people of Europe. 
4.714 	 The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and still less transferable. 
5.000 	 The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed. 
5.000 	 As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained at second reading, a crisis is at the root of this amendment of directive. 
4.800 	 As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained at second reading, a crisis is on the basis of this amendment of directive. 
4.750 	 The European Union has got to do something and do it quickly.	It is appropriate that the European Union means and that it should do so quickly. 
4.500 	 Unfortunately, others separate on the basis of accumulated hatred.	Other separate unfortunately a accumulated resentment. 
4.250 	 Then perhaps we could have avoided a catastrophe.	We might have been able to prevent a disaster. 
4.250 	 Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that one of our allies, there are strong this tax. 
5.000 	 It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty of continue to support the country on the issue of the integration of the Russian people. 
4.750 	 The vote will take place today at 5.30 p.m.	Vote will take place at 17 h 30. 
5.000 	 Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272. 
4.000 	 Let me remind you that our allies include fervent supporters of this tax.	I hold you recall that our allies, there are enthusiastic about this tax. 
3.833 	 We often pontificate here about being the representatives of the citizens of Europe.	We often take pride here to represent the citizens of Europe. 
5.000 	 render one language in another language	restate (words) from one language into another language. 
3.250 	 nations unified by shared interests, history or institutions	a group of nations having common interests. 
3.250 	 convert into absorbable substances, (as if) with heat or chemical process	soften or disintegrate by means of chemical action, heat, or moisture. 
4.000 	 devote or adapt exclusively to an skill, study, or work	devote oneself to a special area of work. 
3.250 	 elevated wooden porch of a house	a porch that resembles the deck on a ship. 
4.000 	 either half of an archery bow	either of the two halves of a bow from handle to tip. 
3.333 	 a removable device that is an accessory to larger object	a supplementary part or accessory. 
4.750 	 restrict or confine	place limits on (extent or access). 
0.500 	 orient, be positioned	be opposite. 
4.750 	 Bring back to life, return from the dead	cause to become alive again. 
3.750 	 anything illusory, not concrete or real	something with no concrete substance. 
4.000 	 a name or trait that identifies a product or type of thing	a name given to a product or service. 
1.500 	 the processing or operation of something	a set sequence of steps, part of larger computer program. 
2.500 	 line, cover	cover the front or surface of. 
4.250 	 determine a standard; estimate a capacity or measurement	estimate the value of. 
3.500 	 an interpretation, an account or reading of an event or situation	a mental representation of the meaning or significance of something. 
4.250 	 festive social event, celebration	an occasion on which people can assemble for social interaction and entertainment. 
5.000 	 Make fine adjustments to for optimal    operation; adjust to a certain scale.	make fine adjustments or divide into marked intervals for optimal measuring. 
3.750 	 a short lyric or poem intended to be sung	a narrative song with a recurrent refrain. 
2.750 	 effectively wield or manipulate a concrete entity	handle effectively. 
3.500 	 employ or become employed in a position	appoint someone to (a position or a job). 
3.500 	 group of people defined by a specific profession	organization of performers and associated personnel (especially theatrical). 
3.500 	 storage cabinet furniture	office furniture consisting of a container for keeping papers in order. 
4.250 	 Signal (approval or interest) by winking; briefly shut one eye.	signal by winking. 
2.750 	 capital stock in a corporation	any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate. 
2.250 	 prove or corroborate	establish or strengthen as with new evidence or facts. 
3.750 	 (the content of) a communication.	a communication (usually brief) that is written or spoken or signaled. 
3.000 	 a partial denture	a denture anchored to teeth on either side of missing teeth. 
2.750 	 move to a lower position, terminate something	terminate an association with. 
2.500 	 flow, as of liquids	reduce or cause to be reduced from a solid to a liquid state, usually by heating. 
2.250 	 seal, insulate or protect	treat the body or any part of it by wrapping it, as with blankets or sheets, and applying compresses to it, or stuffing it to provide cover, containment, or therapy, or to absorb blood. 
2.500 	 scar physically; create a mark on someone or something	make underscoring marks. 
3.500 	 Surround completely; close in, as if with a    covering or border.	surround completely. 
1.250 	 the act or event of ending a process, state, situation	the end of a word (a suffix or inflectional ending or final morpheme). 
0.000 	 the price of a good or service	an assertion that someone is guilty of a fault or offence. 
2.000 	 depict or portray in art, words, or model	create an image or likeness of. 
0.750 	 travel in or be shaped like a zigzag	bend into the shape of a crank. 
4.250 	 Annoy, harass, or mock, perhaps playfully.	mock or make fun of playfully. 
0.000 	 (Cause to) smell bad.	be extremely bad in quality or in one's performance. 
4.000 	 social ranking or position	the relative position or standing of things or especially persons in a society. 
3.250 	 ponder, consider, observe carefully	consider in detail and subject to an analysis in order to discover essential features or meaning. 
4.333 	 persuade or achieve acceptance	persuade somebody to accept something. 
5.000 	 physical matter left behind after a removal process	matter that remains after something has been removed. 
3.500 	 any tall, vertical shape	anything that approximates the shape of a column or tower. 
4.750 	 physically inflate	become inflated. 
3.000 	 heavy radioactive metallic element, atomic number 92	a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons. 
3.000 	 Complain about something or say mean things    to someone.	say mean things. 
3.750 	 care about, be bothered by, be concerned by	be offended or bothered by; take offense with, be bothered by. 
2.750 	 the tallied points of a game, at a given time	a number that expresses the accomplishment of a team or an individual in a game or contest. 
2.250 	 edit so as to block the truth; prevent distribution	subject to political, religious, or moral censorship. 
2.500 	 a casual, brief meeting with someone	a casual or unexpected convergence. 
4.250 	 an electrical connection between conductor and earth	a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage). 
4.000 	 an agent's act of terminating an activity or event	the act of ending something. 
4.500 	 notable or famous persons (real or fictional)	a well-known or notable person. 
3.750 	 a person who manipulate or controls a device or machine	an agent that operates some apparatus or machine. 
3.250 	 find, determine the place of	determine or indicate the place, site, or limits of, as if by an instrument or by a survey. 
4.250 	 to engage in plotting or activities of an illegal or deceitful nature	act in unison or agreement and in secret towards a deceitful or illegal purpose. 
3.750 	 be equivalent, have the same effect as something	be tantamount or equivalent to. 
1.000 	 (cause to) survive	cause to move by pulling. 
1.000 	 the money	a voluntary gift (as of money or service or ideas) made to some worthwhile cause. 
3.750 	 a sudden emotional vocalization	a loud utterance of emotion (especially when inarticulate). 
4.000 	 go back, restore, revive	go back to a previous state. 
2.750 	 settlement of people distant from their homeland	a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government. 
3.750 	 (The discovery or exhibition of) factual evidence that establishes the truth of something.	a formal series of statements showing that if one thing is true something else necessarily follows from it. 
1.500 	 enter a realm, become involved with	cause to move; cause to be in a certain position or condition. 
3.250 	 a project or undertaking	earnest and conscientious activity intended to do or accomplish something. 
4.000 	 a standardized system of measurements for heaviness	a system of units used to express the weight of something. 
4.500 	 a concern or affair	some situation or event that is thought about. 
2.000 	 have a strong sexual attraction to	feel or have a desire for; want strongly. 
1.500 	 a surrogate expression, utterance for a taboo word	a blank character used to separate successive words in writing or printing. 
4.000 	 facility for secure storage of things, often money	a facility where things can be deposited for storage or safekeeping. 
3.750 	 emit or cause to emit noise	make a certain noise or sound. 
2.333 	 make physical contact with, possibly with the effect of physically manipulating.	cause to be in brief contact with. 
2.500 	 find out or be informed of a new information, understand or realize	get to know or become aware of, usually accidentally. 
4.500 	 head of a country	the chief executive of a republic. 
3.000 	 Touch with the lips.	touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.. 
2.750 	 a natural physical force of drawing towards something	the force used in pulling. 
3.000 	 a change which is a decrease	a gradual decrease; as of stored charge or current. 
3.000 	 an evaluation, an estimation of worth, a grade	a number or letter indicating quality (especially of a student's performance). 
1.750 	 having responsibility for managing or supervising	an impetuous rush toward someone or something. 
4.000 	 fail or suffer failure	suffer failure, as in some enterprise. 
4.000 	 an abundance of something	the property of copious abundance. 
3.750 	 An authoritative text or the corresponding citation.	a short note recognizing a source of information or of a quoted passage. 
0.500 	 An instance of visual perception.	(often followed by `of') a large number or amount or extent. 
2.500 	 fluctuate, move back and forth	sway to and fro. 
1.500 	 the alleviation of distress	a change for the better. 
2.800 	 A ceremony marking admission into a religious community.	a sacrament admitting a baptized person to full participation in the church. 
3.400 	 a social gesture of deferential greeting	a courteous expression (by word or deed) of esteem or regard. 
0.000 	 move to a new location, state, or situation	cause (a computer) to execute a single command. 
1.600 	 Change one for another	give to, and receive from, one another. 
4.000 	 a full stop, as a punctuation mark	a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations. 
3.250 	 something that is craved	something craved, especially an intravenous injection of a narcotic drug. 
3.500 	 to grow rapidly	increase rapidly and in an uncontrolled manner. 
3.500 	 Speak in a high-pitched tone of voice, as          either an animal or human might.	make high-pitched sounds. 
2.500 	 domesticated animals kept for use or profit	a special variety of domesticated animals within a species. 
2.250 	 a discipline, a branch of knowledge	the discipline that records and interprets past events involving human beings. 
3.333 	 a person who is aggressively pursued, chased	a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence. 
2.250 	 personnel casualty	military personnel lost by death or capture. 
3.250 	 escape or avoid a situation or responsibility	use cunning or deceit to escape or avoid. 
4.000 	 a relative loss in price, value	a loss entailed by giving up or selling something at less than its value. 
3.750 	 a measurable or quantitative decrease	a sudden sharp decrease in some quantity. 
3.500 	 Change the key, pitch, tone, or volume of,    likely for aesthetic reasons.	change the key of, in music. 
5.000 	 a written message of nonacceptance	a message refusing to accept something that is offered. 
0.500 	 (cause to) stop speaking or bring about silence	move so that an opening or passage is obstructed; make shut. 
3.500 	 injure, scratch the surface	cut the surface of; wear away the surface of. 
2.000 	 A plant structure near the top of the plant.	a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom. 
2.500 	 a written list of particular things being offered	a list of particulars (as a playbill or bill of fare). 
3.500 	 a notational mark used in writing, diacritic	a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation. 
3.250 	 the state of believing in, or having confidence in, something or someone	the trait of believing in the honesty and reliability of others. 
4.500 	 an attempt or effort to achieve a goal	an attempt to get something. 
2.750 	 increase in amount, extent, or intensity	go up or advance. 
3.250 	 clean, wash thoroughly	clean with hard rubbing. 
2.000 	 compress out of shape or into small pieces	become injured, broken, or distorted by pressure. 
4.000 	 point or direct object, weapon, or blow at something or someone	point or cause to go (blows, weapons, or objects such as photographic equipment) towards. 
0.750 	 employ or utilize, put into service	give or convey physically. 
2.500 	 Spin, wind, braid, or twist together,    perhaps as when performing lacework.	do lacework. 
4.250 	 a decorative container, often for holding flowers	an open jar of glass or porcelain used as an ornament or to hold flowers. 
2.000 	 preserve, keep in safety, use frugally	preserve with sugar. 
2.250 	 an open motorboat used for transport	a motorboat with an open deck or a half deck. 
2.750 	 a process of development, increase or advancement	a process of becoming larger or longer or more numerous or more important. 
3.500 	 Make sure of.	be careful or certain to do something; make certain of something. 
2.250 	 supply or furnish with something needed or wanted	give something useful or necessary to. 
4.000 	 a sharp bladed instrument for shaving off hair	edge tool used in shaving. 
2.000 	 learn, assimilate a body of knowledge	learn by reading books. 
0.750 	 support; hold up; nurture or provide for	lengthen or extend in duration or space. 
4.000 	 keep away, prevent from happening, or not do something	refrain from doing something. 
3.500 	 Something that provides advice.	something that provides direction or advice as to a decision or course of action. 
2.000 	 The act of copying the actions of someone else.	a representation of a person that is exaggerated for comic effect. 
2.500 	 a physical entity	a separate and self-contained entity. 
2.500 	 lessen in force, impact, or effect	make less severe or harsh. 
4.000 	 a judgement or opinion about something	a judgment of the qualities of something or somebody. 
2.750 	 flog or whip	beat severely with a whip or rod. 
2.250 	 act, form, or progress according to a plan or ideal	shape or influence; give direction to. 
3.500 	 Germinate, as in a plant.	produce buds, branches, or germinate. 
1.000 	 social sphere, scope of activity or interest	a particular environment or walk of life. 
4.500 	 a static vertical layout, e.g. text or numbers	a vertical array of numbers or other information. 
2.500 	 recognize, be familar or well-versed with	be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about. 
2.500 	 a portrayal of someone or something, through words or behavior	any likeness of a person, in any medium. 
2.750 	 a device to control the rate of some activity, e.g., chemical or mechanical	any of various controls or devices for regulating or controlling fluid flow, pressure, temperature, etc.. 
3.750 	 Form an aesthetic or conceptual whole.	cause to form a united, orderly, and aesthetically consistent whole. 
4.000 	 human legs, informal usage	informal terms for the leg. 
3.750 	 goal or objective	the goal intended to be attained (and which is believed to be attainable). 
1.750 	 protect from heat, cold, or other detrimental conditions	place or set apart. 
0.750 	 an allotment or percentage of something	assets belonging to or due to or contributed by an individual person or group. 
2.750 	 something that attains victory	an event that accomplishes its intended purpose. 
4.500 	 line up or make parallel; bring into proper adjustment	place in a line or arrange so as to be parallel or straight. 
3.750 	 a home furnishing that is a fabric cover	bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something. 
3.500 	 meshed frame over windows and doors	a protective covering consisting of netting; can be mounted in a frame. 
3.750 	 a measure of the likelihood or probability of an event	a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible. 
4.000 	 Anyone who judges or finds fault with something.	someone who frequently finds fault or makes harsh and unfair judgments. 
2.200 	 the rescue or release of someone, something	recovery or preservation from loss or danger. 
3.200 	 observe, perceive	observe with care or pay close attention to. 
2.800 	 limit, keep under control, deter, forbid	to compel or deter by or as if by threats. 
2.800 	 stick out, jut out, protrude	extend out or project in space. 
4.500 	 to act as the host of	be the host of or for. 
2.000 	 put an end to, make invalid a process that's already begun	make invalid for use. 
1.000 	 enjoy, be fond of or approve	feel about or towards; consider, evaluate, or regard. 
2.750 	 per centum	a proportion in relation to a whole (which is usually the amount per hundred). 
3.750 	 an approximate attribute or quality of something	an approximate definition or example. 
4.250 	 The act of having and controlling property.	the state or fact of being an owner. 
2.250 	 a physical protuberance, large or small	a natural elevation (especially a rocky one that juts out into the sea). 
3.500 	 estimate or calculate the numerical value of something	evaluate or estimate the nature, quality, ability, extent, or significance of. 
0.500 	 a portion or percentage of a whole	the part played by a person in bringing about a result. 
3.250 	 lightest most abundant element, atomic number 1	a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe. 
0.000 	 a unit cost of something	a single chance or instance. 
2.000 	 move back and forth	move or sway in a rising and falling or wavelike pattern. 
2.250 	 a cyclical span of time defined by a calendar system	a period of time containing 365 (or 366) days. 
2.250 	 face an event and survive; endure	face and withstand with courage. 
4.000 	 (medicine) the capacity of an organism to defend against disease.	(medicine) the condition in which an organism can resist disease. 
3.000 	 a statement, an idea expressed in language	a brief statement. 
3.500 	 perform a duty	do duty or hold offices; serve in a specific function. 
3.250 	 soldier who is a member of a special forces group	a member of a military unit trained as shock troops for hit-and-run raids. 
4.000 	 become master of, overcome, dominate	get on top of; deal with successfully. 
0.500 	 area of damaged, cut tissue on a living body	a casualty to military personnel resulting from combat. 
1.750 	 revolve	change directions as if revolving on a pivot. 
4.000 	 twice the quantity or amount of something	a quantity that is twice as great as another. 
3.250 	 Give an incentive for action, provoke or    stir up, urge on, or cause to act.	provoke or stir up. 
3.000 	 Funeral direction	the trade of a funeral director. 
4.250 	 to ignite or catch on fire	catch fire. 
2.750 	 a large approximate quantity of some attribute or thing	a concentrated example of something. 
3.000 	 Medicines	a substance that is used as a medicine or narcotic. 
3.750 	 a method for solving a problem	the successful action of solving a problem. 
2.000 	 reach an objective, attain a benchmark or goal	develop in a positive way. 
1.600 	 take something or someone away from somewhere	go away or leave. 
1.000 	 a stiffener in a garment	(nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar. 
3.800 	 a constructed underground passageway	a passageway through or under something, usually underground (especially one for trains or cars). 
2.250 	 discern, identify, or know because of a previous experience	be fully aware or cognizant of. 
3.000 	 move or change one's own position or quality	move very slightly. 
1.750 	 incorporate or enclose one thing in another	incorporate a food ingredient into a mixture by repeatedly turning it over without stirring or beating. 
1.750 	 guide, draw through	pass over, across, or through. 
3.400 	 rescue, redeem, deliver from harm or danger	refrain from harming. 
4.000 	 beat (as if) with a whip or rod	strike as if by whipping. 
4.400 	 the medical procedure of manually turning the uterus	manual turning of a fetus in the uterus (usually to aid delivery). 
2.600 	 create an edge or border	enclose in or as if in a frame. 
2.250 	 restart or continue an activity after an interruption or pause	take up or begin anew. 
2.750 	 capture, ensnare, discover in the act	discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state. 
3.250 	 initiation, founding, introduction of something	the act of starting something for the first time; introducing something new. 
2.750 	 a creased or bent form	an angular or rounded shape made by folding. 
4.500 	 train, tutor or polish social behavior, taste, judgement	teach or refine to be discriminative in taste or judgment. 
3.250 	 a mental activity of construing or interpreting	an interpretation of a text or action. 
4.250 	 emphasize; draw attention to; underline	draw a line or lines underneath to call attention to. 
2.000 	 possibility for the future	a prediction of the course of a disease. 
3.250 	 require or need something that is missing	have need of. 
2.750 	 an indication or manifestation of something, often physical	an indication of damage. 
3.750 	 a sudden, brief burst of light	a momentary brightness. 
2.250 	 come or bring back to life, health, existence or use	cause to regain consciousness. 
3.250 	 A mental state of sadness.	a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity. 
3.750 	 position or location change	the act of changing the location of something. 
3.750 	 (cause to) move through a space, circuit or system, usu. returning to the starting point	move in circles. 
3.750 	 bring in to consonance	bring (several things) into consonance or relate harmoniously. 
1.500 	 submit, send to	cause to move; cause to be in a certain position or condition. 
3.750 	 state of being unified	the state of being joined or united or linked. 
3.000 	 (Cause to) become different or aquire a          different character, possibly during development.	become distinct and acquire a different character. 
3.500 	 an objective or goal	the goal intended to be attained (and which is believed to be attainable). 
3.500 	 seize and take captive; take or gain possession of something	take possession of by force, as after an invasion. 
3.250 	 give, dedicate, pledge	give entirely to a specific person, activity, or cause. 
4.000 	 decide a specific time for an event	make a schedule; plan the time and place for events. 
4.750 	 value a thing or course of action more highly than another	like better; value more highly. 
3.750 	 give something for a cause	give to a charity or good cause. 
3.750 	 furnish with a guideline	furnish with rubrics or regulate by rubrics. 
2.500 	 a social entreaty, as courtship or pleading	a petition or appeal made to a person of superior status or rank. 
2.250 	 fail in strength or health and cease to funtion	break down, literally or metaphorically. 
3.667 	 reply verbally or in written form to a question, comment, letter, or speech	react verbally. 
3.750 	 a slight cut in a physical surface	a slight surface cut (especially a notch that is made to keep a tally). 
3.250 	 cause something to be the case	cause to move; cause to be in a certain position or condition. 
4.000 	 a state of confinement in a small space	the act of forcing yourself (or being forced) into or through a restricted space. 
4.000 	 state or explain the meaning	give a definition for the meaning of a word. 
1.250 	 cause animals to move	pursue for food or sport (as of wild animals). 
4.500 	 be against, resist	act against or in opposition to. 
4.250 	 a quantity of money added to a bank account	money deposited in a bank or some similar institution. 
3.250 	 cause to come into existence; create	bring into being. 
2.500 	 Performance, routine	a short theatrical performance that is part of a longer program. 
4.250 	 people assembled together in a rhythmic movement	a party of people assembled for dancing. 
3.000 	 a computer server	(computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network. 
2.250 	 forbid, prohibit	forbid the public distribution of ( a movie or a newspaper). 
3.000 	 computer text files	(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters. 
2.250 	 a speech act of acknowledging gratitude for something	an acknowledgment of appreciation. 
3.333 	 a state of pretending to be someone, something else	an outward semblance that misrepresents the true nature of something. 
2.750 	 Become widespread as an idea or feeling.	cause to become widely known. 
0.000 	 connect with; reach a target or goal	perceive with the senses quickly, suddenly, or momentarily. 
4.750 	 income collected as tax by a government	government income due to taxation. 
2.000 	 be the deciding factor in a state of affairs or an outcome	shape or influence; give direction to. 
3.000 	 end	put an end to. 
4.500 	 a region allocated to hold something	the particular portion of space occupied by something. 
0.750 	 acknowledge a contribution or cause	have trust in; trust in the truth or veracity of. 
2.000 	 arrangement	logical or comprehensible arrangement of separate elements. 
3.750 	 system of arrangement	an arrangement scheme. 
3.750 	 close within bounds; deprive of freedom	to close within bounds, limit or hold back from movement. 
4.750 	 to collect, acquire or gather	get or gather together. 
0.500 	 deliver a formal talk or reprimand at length	censure severely or angrily. 
5.000 	 a pair of mated people, e.g., married	a pair of people who live together. 
4.750 	 rot; become unfit for consumption	become unfit for consumption or use. 
3.250 	 lock with one another	become engaged or intermeshed with one another. 
4.500 	 take vows, join or allow to join a religious order	take vows, as in religious order. 
4.750 	 activity of selling	the general activity of selling. 
4.500 	 give out, allow to have	allow to have. 
4.750 	 secondary public school, grades 9-12	a public secondary school usually including grades 9 through 12. 
3.000 	 Benjamin Rush, physician and American Revolutionary leader.	physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813). 
2.500 	 luggage compartment of a car	British term for the luggage compartment in a car. 
4.500 	 have a monopoly of; control fully	have or exploit a monopoly of. 
3.750 	 reduce to a simpler molecular compound	reduce (petroleum) to a simpler compound by cracking. 
2.500 	 cause to be interested	attract; cause to be enamored. 
3.500 	 To remain emotionally or intellectually          attached without necessary physical contact.	to remain emotionally or intellectually attached. 
4.750 	 The act of transporting goods commerically at rates cheaper than express rates.	transporting goods commercially at rates cheaper than express rates. 
4.500 	 (An occurance of) the preservation or management of natural resources.	the preservation and careful management of the environment and of natural resources. 
